agent_id,age,born_in_us,city,detailed_race,ethnicity,family_income_at_16,family_structure_at_16,fathers_highest_degree,first_name,highest_degree_received,hispanic_origin,last_name,marital_status,military_service_duration,mothers_highest_degree,mothers_work_history,party_identification,political_views,race,religion,religion_at_16,residence_at_16,same_residence_since_16,sex,speak_other_language,state,street_address,total_wealth,us_citizenship_status,work_status
2207,21,Yes,Los Angeles,Hispanic or Latino,Mexico,Average,Lived with parents,Less than high school,Angela,Associate/junior college,Not Hispanic,Perez,Never married,No active duty,Less than high school,No,Strong democrat,Slightly conservative,Other,Catholic,Catholic,Pacific,Same city,Female,Yes,CA,1234 Maple Avenue,"$5,000 to $20,000",A U.S. citizen,Working part time
0946,22,Yes,Eugene,Hispanic or Latino,Mexico,Average,Lived with parents,Less than high school,Joseph,Associate/junior college,Not Hispanic,Hernandez,Never married,No active duty,Bachelor's,Yes,"Independent, close to democrat","Moderate, middle of the road",White,Other,None,Pacific,Same city,Male,Yes,OR,1234 Elm Street,"Less than $5,000",A U.S. citizen,In school
1220,22,Yes,San Antonio,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Jose,Associate/junior college,Not Hispanic,Diaz,Never married,No active duty,Less than high school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Other,None,Protestant,West South Central,"Same state, different city",Male,Yes,TX,1234 Elm Street,"Less than $5,000",A U.S. citizen,Working full time
3102,22,Yes,Raleigh,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Joshua,Associate/junior college,Not Hispanic,Perez,Married,No active duty,Associate/junior college,Yes,"Independent, close to republican",Slightly conservative,White,Protestant,Protestant,South Atlantic,Same city,Male,Yes,NC,123 Oakwood Ave,"Less than $5,000",A U.S. citizen,Working full time
0428,25,Yes,Des Moines,Hispanic or Latino,Mexico,Average,"Divorce, separated",Less than high school,Emma,Associate/junior college,Not Hispanic,Martinez,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,None,None,West North Central,"Same state, different city",Female,Yes,IA,123 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
1986,26,Yes,San Diego,Hispanic or Latino,Mexico,Far below average,Lived with parents,Less than high school,Jasmine,Associate/junior college,Not Hispanic,Hernandez,Never married,No active duty,Less than high school,Yes,Strong republican,Conservative,Other,Catholic,Catholic,Pacific,"Same state, different city",Female,Yes,CA,1234 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working part time
0998,27,Yes,Boise,Hispanic or Latino,Mexico,Average,Lived with parents,Less than high school,Ana,Associate/junior college,Not Hispanic,Ramirez,Married,No active duty,High school,No,Not very strong democrat,Conservative,White,Protestant,Protestant,Mountain,Same city,Female,Yes,ID,742 Evergreen Terrace,"$40,000 to $75,000",A U.S. citizen,Working full time
2919,27,Yes,Bozeman,White,Other European,Far below average,"Divorce, separated",Less than high school,Luciano,Associate/junior college,Not Hispanic,Vargas,Never married,No active duty,High school,Yes,"Independent, close to democrat",Extremely liberal,Other,None,Protestant,Mountain,Same city,Male,No,MT,1234 Pine Needle Drive,"$20,000 to $40,000",A U.S. citizen,Working part time
1790,30,No,Fort Lauderdale,Black or African American,Jamaica,Below average,Lived with parents,Less than high school,Vanessa,Associate/junior college,Not Hispanic,Lopez,Never married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Black,None,Christian,Foreign,Different state,Female,No,FL,123 Kingston Ave,"$5,000 to $20,000",Not a U.S. citizen,Working full time
1177,31,No,Jersey City,Hispanic or Latino,Mexico,Below average,Parent died,Less than high school,Andrea,Associate/junior college,Not Hispanic,Santos,Married,No active duty,High school,Yes,"Independent (neither, no response)",Slightly liberal,Other,None,Catholic,Middle Atlantic,Same city,Female,Yes,NJ,1234 Elmwood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
1700,31,No,Harrisburg,Hispanic or Latino,Bolivia,Below average,Lived with parents,Less than high school,Natalie,Associate/junior college,Not Hispanic,Fernandez,Never married,No active duty,High school,Yes,"Independent (neither, no response)",Slightly conservative,White,Catholic,Catholic,Middle Atlantic,"Same state, different city",Female,Yes,PA,123 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Working full time
1123,33,No,Philadelphia,Hispanic or Latino,Colombia,Far below average,Lived with parents,Less than high school,Gabriella,Associate/junior college,Not Hispanic,Martinez,Married,No active duty,Less than high school,No,"Independent (neither, no response)",Slightly liberal,Other,Protestant,Catholic,Middle Atlantic,Same city,Female,Yes,PA,123 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,In school
