agent_id,age,born_in_us,city,detailed_race,ethnicity,family_income_at_16,family_structure_at_16,fathers_highest_degree,first_name,highest_degree_received,hispanic_origin,last_name,marital_status,military_service_duration,mothers_highest_degree,mothers_work_history,party_identification,political_views,race,religion,religion_at_16,residence_at_16,same_residence_since_16,sex,speak_other_language,state,street_address,total_wealth,us_citizenship_status,work_status
0372,23,Yes,Atlanta,Black or African American,Mexico,Below average,Lived with parents,Less than high school,Ava,Bachelor's,Not Hispanic,Martinez,Married,No active duty,Less than high school,Yes,"Independent, close to democrat","Moderate, middle of the road",Black,Catholic,Catholic,South Atlantic,Different state,Female,Yes,GA,1287 Peachtree Street NE,"$150,000 to $250,000",A U.S. citizen,Working full time
0405,23,Yes,Los Angeles,Hispanic or Latino,Guatemala,Average,Lived with parents,Less than high school,Juan,Bachelor's,Not Hispanic,Guzman,Never married,No active duty,Less than high school,Yes,Strong democrat,Slightly liberal,White,None,Catholic,Pacific,Same city,Male,Yes,CA,1234 Elm Street,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
1381,23,Yes,San Francisco,Asian,China,Average,Lived with parents,Less than high school,Mikayla,Bachelor's,Not Hispanic,Wong,Never married,No active duty,Associate/junior college,Yes,Not very strong democrat,Liberal,Other,None,Buddhism,Pacific,Same city,Female,Yes,CA,1234 Pacific Heights Blvd,"$20,000 to $40,000",A U.S. citizen,Working full time
1723,23,No,Fort Lauderdale,Black or African American,Jamaica,Below average,Lived with parents,Less than high school,Monserrat,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",Black,Catholic,Catholic,Foreign,Different state,Female,No,FL,1287 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
2652,23,Yes,Los Angeles,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Mayra,Bachelor's,Not Hispanic,Garcia,Never married,No active duty,Less than high school,No,Strong democrat,Liberal,Other,Catholic,Catholic,Pacific,Same city,Female,Yes,CA,1234 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working full time
1636,24,Yes,Miami,Hispanic or Latino,Colombia,Below average,Lived with parents,Less than high school,Maria,Bachelor's,Not Hispanic,Martinez,Never married,No active duty,Less than high school,No,Strong democrat,Extremely liberal,White,None,Catholic,South Atlantic,"Same state, different city",Female,Yes,FL,456 Ocean Breeze Ave,"Less than $5,000",A U.S. citizen,Working full time
0399,25,Yes,Hoboken,White,Italy,Above average,Lived with parents,Less than high school,Angela,Bachelor's,Not Hispanic,Rossi,Never married,No active duty,Graduate,Yes,"Independent, close to democrat","Moderate, middle of the road",White,None,Catholic,Middle Atlantic,"Same state, different city",Female,Yes,NJ,123 Elm Street,"$5,000 to $20,000",A U.S. citizen,Working part time
2645,26,Yes,Columbia,Black or African American,Nigeria,Below average,Lived with parents,Less than high school,Devin,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Other party,Slightly liberal,Black,None,Protestant,South Atlantic,Different state,Male,No,SC,512 Elm Street,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
3173,26,Yes,Portland,Hispanic or Latino,Mexico,Below average,Parent died,Less than high school,Natalie,Bachelor's,Not Hispanic,Gonzalez,Never married,No active duty,High school,Yes,"Independent, close to democrat",Slightly liberal,White,None,Protestant,Pacific,"Same state, different city",Female,Yes,OR,1234 Elm Street,"$5,000 to $20,000",A U.S. citizen,Working full time
1799,28,Yes,Des Moines,White,Belgium,Far below average,Lived with parents,Less than high school,Lauren,Bachelor's,Not Hispanic,Whitaker,Married,"Yes, more than 4 years",High school,Yes,Not very strong republican,Slightly conservative,White,Protestant,None,West North Central,"Same state, different city",Female,No,IA,1723 Elm Street,"Less than $5,000",A U.S. citizen,Working full time
3382,28,Yes,Philadelphia,Asian,China,Average,Lived with parents,Less than high school,Wei,Bachelor's,Not Hispanic,Li,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)",Slightly liberal,Other,Christian,None,Middle Atlantic,Same city,Male,Yes,PA,123 Elm Street,"$40,000 to $75,000",A U.S. citizen,Working full time
1248,29,Yes,Santa Cruz,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Erin,Bachelor's,Not Hispanic,Martinez,Married,No active duty,Less than high school,No,Strong democrat,Extremely liberal,White,None,Catholic,Pacific,"Same state, different city",Female,Yes,CA,1523 Ocean View Ave,"Less than $5,000",A U.S. citizen,Working full time
2171,29,Yes,Long Beach,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Gabriel,Bachelor's,Not Hispanic,Lopez,Married,"Yes, 2-4 years",High school,No,"Independent (neither, no response)","Moderate, middle of the road",Other,Catholic,Catholic,Pacific,Different state,Male,Yes,CA,1234 Oceanview Dr,"$5,000 to $20,000",A U.S. citizen,Working part time
1842,30,Yes,Austin,White,Mexico,Average,Lived with parents,Less than high school,Nadia,Bachelor's,Not Hispanic,Martinez,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,Catholic,Catholic,West South Central,Same city,Female,Yes,TX,1234 Westlake Ave,"$100,000 to $150,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
2918,30,Yes,Los Angeles,Hispanic or Latino,El Salvador,Below average,Lived with parents,Less than high school,Isabel,Bachelor's,Not Hispanic,Rodriguez,Never married,No active duty,Less than high school,No,Not very strong democrat,Slightly liberal,White,Catholic,Catholic,Pacific,Same city,Female,Yes,CA,123 Elm Street,"Less than $5,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
0115,32,Yes,Eugene,White,Mexico,Far below average,Lived with parents,Less than high school,Luis,Bachelor's,Not Hispanic,Hernandez,Married,No active duty,Less than high school,No,"Independent, close to republican",Conservative,White,Catholic,Catholic,Pacific,"Same state, different city",Male,Yes,OR,1234 Elm Street,"Less than $5,000",A U.S. citizen,Keeping house
2214,33,Yes,Seattle,Black or African American,Other Africa,Above average,Lived with parents,Less than high school,Jordan,Bachelor's,Not Hispanic,Brown,Never married,No active duty,Associate/junior college,Yes,Not very strong democrat,Liberal,Black,Christian,None,Pacific,"Same state, different city",Female,No,WA,1234 Elmwood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
2897,33,Yes,Los Angeles,Hispanic or Latino,Mexico,Far below average,Lived with parents,Less than high school,Maria,Bachelor's,Not Hispanic,Martinez,Married,No active duty,Less than high school,No,Strong democrat,Liberal,White,None,None,Pacific,Same city,Female,Yes,CA,123 Elm Street,"Less than $5,000",A U.S. citizen,Keeping house
0903,34,No,Chicago,White,Germany,Far below average,Lived with parents,Less than high school,Andrea,Bachelor's,Not Hispanic,Barkley,Married,No active duty,Less than high school,Yes,Not very strong republican,Extremely liberal,White,Catholic,Catholic,East North Central,Same city,Female,Yes,IL,123 Elm Street,"$75,000 to $100,000",A U.S. citizen,Working full time
